utc_time,dt_s,lat_calc_deg,lon_calc_deg,alt_calc_m,lat_nmea_deg,lon_nmea_deg,alt_nmea_m,horiz_err_m,alt_err_m,abs_alt_err_m,err_3d_m,variant
2026-03-21T15:14:41.418000+00:00,0.4179999999978463,32.168450583149365,34.81323454021795,33.590019593946636,32.16849466666667,34.813209783333335,20.0,5.427549129701967,13.590019593946636,13.590019593946636,14.633759671362041,without_smoothing
2026-03-21T15:14:42.418000+00:00,0.4179999999978463,32.16842164503428,34.81328416111843,67.1771535789594,32.16850651666667,34.813214783333336,21.0,11.476315892086298,46.177153578959405,46.177153578959405,47.58188036542646,without_smoothing
2026-03-21T15:14:43.418000+00:00,0.4179999999978463,32.16858644527268,34.81326426156417,42.28442814666778,32.168511083333335,34.81321605,21.3,9.52967770024411,20.984428146667778,20.984428146667778,23.046929984559608,without_smoothing
2026-03-21T15:14:44.418000+00:00,0.4179999999978463,32.1684775486831,34.81320302583806,36.80704520922154,32.16851848333333,34.813223816666664,22.8,4.954573827390547,14.007045209221541,14.007045209221541,14.857493641399936,without_smoothing
2026-03-21T15:14:55.418000+00:00,0.4179999999978463,32.16874621875452,34.813277181463,50.2558548906818,32.168653666666664,34.81328658333334,25.4,10.32930081538486,24.855854890681805,24.855854890681805,26.916685859914868,without_smoothing
2026-03-21T15:14:56.418000+00:00,0.4179999999978463,32.16864179118704,34.81327010570582,46.8884288277477,32.16866963333334,34.813281833333335,24.6,3.2868127784053502,22.2884288277477,22.2884288277477,22.5294739807627,without_smoothing
2026-03-21T15:14:57.418000+00:00,0.4179999999978463,32.1686448235137,34.81324994901592,62.72770017478615,32.16868566666667,34.813277533333334,24.5,5.23133010201694,38.22770017478615,38.22770017478615,38.5839846994788,without_smoothing
2026-03-21T15:14:58.418000+00:00,0.4179999999978463,32.16859431561855,34.81322104105562,6.933767852373421,32.16870021666667,34.813274416666665,25.3,12.802593929775046,-18.36623214762658,18.36623214762658,22.388052497509133,without_smoothing
2026-03-21T15:14:59.418000+00:00,0.4179999999978463,32.16874633950664,34.813356376557934,62.797267036512494,32.16871391666667,34.81327386666667,24.6,8.562244683082085,38.19726703651249,38.19726703651249,39.14515606140319,without_smoothing
2026-03-21T15:15:00.418000+00:00,0.4179999999978463,32.16870564510261,34.81330054167867,35.667981836013496,32.16872706666666,34.81327438333334,24.2,3.4257766526830347,11.467981836013497,11.467981836013497,11.968732308193866,without_smoothing
2026-03-21T15:15:01.418000+00:00,0.4179999999978463,32.1687072323906,34.81333435062243,50.14615027047694,32.1687344,34.81327723333333,23.7,6.166750821160849,26.446150270476938,26.446150270476938,27.15561967289525,without_smoothing
2026-03-21T15:15:02.418000+00:00,0.4179999999978463,32.168830359683916,34.813203167664504,57.86174279265106,32.16873961666667,34.81328108333333,23.0,12.473804579418438,34.86174279265106,34.86174279265106,37.026165224425796,without_smoothing
2026-03-21T15:15:03.418000+00:00,0.4179999999978463,32.16865696395094,34.81332384585555,35.43056555464864,32.168745816666664,34.813283,22.8,10.601642468706435,12.630565554648637,12.630565554648637,16.490179176241735,without_smoothing
2026-03-21T15:15:04.418000+00:00,0.4179999999978463,32.16884182534222,34.81336550649044,39.77802272327244,32.168751,34.81328443333334,22.6,12.65812366114746,17.17802272327244,17.17802272327244,21.338054252957686,without_smoothing
2026-03-21T15:15:05.418000+00:00,0.4179999999978463,32.16883909279473,34.813274060391024,50.5917228711769,32.16875936666667,34.81328383333334,22.4,8.912737720463218,28.1917228711769,28.1917228711769,29.56704469707797,without_smoothing
2026-03-21T15:15:06.418000+00:00,0.4179999999978463,32.168731428115606,34.8132684283934,28.341324465349317,32.168769516666664,34.81327856666667,22.3,4.341427074408385,6.041324465349316,6.041324465349316,7.439461696791936,without_smoothing
2026-03-21T15:15:07.418000+00:00,0.4179999999978463,32.168748802712265,34.81324432055566,50.315164177678525,32.16877861666667,34.813269350000006,22.5,4.067001215010143,27.815164177678525,27.815164177678525,28.110920602394092,without_smoothing
2026-03-21T15:15:08.418000+00:00,0.4179999999978463,32.16875647470029,34.81324383001637,44.41795583628118,32.16878796666666,34.813255633333334,23.4,3.6737603557484175,21.017955836281182,21.017955836281182,21.336611321560294,without_smoothing
2026-03-21T15:15:09.418000+00:00,0.4179999999978463,32.16875490908292,34.81308500564788,53.92959152441472,32.16879386666667,34.813243899999996,23.1,15.570597678927406,30.829591524414717,30.829591524414717,34.538489046877594,without_smoothing
2026-03-21T15:15:10.418000+00:00,0.4179999999978463,32.16875794390083,34.813185959977865,65.08189947064966,32.168794883333334,34.81322986666667,23.2,5.826714307395058,41.88189947064966,41.88189947064966,42.28527051929083,without_smoothing
2026-03-21T15:15:11.418000+00:00,0.4179999999978463,32.168716142605604,34.81325084373038,27.74717510305345,32.16879443333333,34.81321256666667,23.7,9.421601237661944,4.047175103053451,4.047175103053451,10.25408192849505,without_smoothing
2026-03-21T15:15:12.418000+00:00,0.4179999999978463,32.16880392692987,34.81321767679956,53.23831648565829,32.16879378333333,34.81319583333333,23.7,2.345072728766579,29.53831648565829,29.53831648565829,29.63125894912528,without_smoothing
2026-03-21T15:15:13.418000+00:00,0.4179999999978463,32.168756317798916,34.81317782907725,31.175514397211366,32.168792866666664,34.813180366666664,23.8,4.071061382724983,7.375514397211365,7.375514397211365,8.424473479416193,without_smoothing
2026-03-21T15:15:14.418000+00:00,0.4179999999978463,32.168731644207774,34.81323001353608,16.593713995069265,32.16879235,34.81316543333333,23.8,9.083729614132997,-7.206286004930735,7.206286004930735,11.595029180107197,without_smoothing
2026-03-21T15:15:15.418000+00:00,0.4179999999978463,32.16877229987797,34.81313193776436,37.467645115219064,32.16879101666667,34.813149683333336,23.6,2.6685821301808565,13.867645115219062,13.867645115219062,14.122071789478332,without_smoothing
2026-03-21T15:15:16.418000+00:00,0.4179999999978463,32.168706423856555,34.813036187888116,44.24625932238996,32.168790550000004,34.81313336666666,23.6,13.083233516820599,20.64625932238996,20.64625932238996,24.442565807685416,without_smoothing
2026-03-21T15:15:17.418000+00:00,0.4179999999978463,32.16879353035577,34.81315534578421,50.28865042794496,32.16879061666667,34.81311778333334,23.4,3.5503660202297556,26.88865042794496,26.88865042794496,27.122032016680215,without_smoothing
2026-03-21T15:15:18.418000+00:00,0.4179999999978463,32.168742833256466,34.81309041028683,47.90531703270972,32.168790916666666,34.813102683333334,23.5,5.470004101351,24.405317032709718,24.405317032709718,25.01080655108643,without_smoothing
2026-03-21T15:15:19.418000+00:00,0.4179999999978463,32.168813954754455,34.81311892566082,65.77965081762522,32.16879326666666,34.8130886,23.7,3.6659842281730857,42.07965081762522,42.07965081762522,42.239039445689116,without_smoothing
2026-03-21T15:15:20.418000+00:00,0.4179999999978463,32.168626531964016,34.812920474409644,28.75894596893341,32.16880123333333,34.8130777,23.5,24.420703805133368,5.258945968933411,5.258945968933411,24.98053816558435,without_smoothing
2026-03-21T15:15:21.418000+00:00,0.4179999999978463,32.16877073888854,34.813100542685994,48.00585425365716,32.16880513333333,34.81306961666667,23.2,4.806251145055015,24.805854253657163,24.805854253657163,25.267181388572485,without_smoothing
2026-03-21T15:15:22.418000+00:00,0.4179999999978463,32.16874670346118,34.81304712172258,40.84644899517298,32.16880003333333,34.81305991666667,23.1,6.0510676231173965,17.746448995172976,17.746448995172976,18.749716566332825,without_smoothing
2026-03-21T15:15:23.418000+00:00,0.4179999999978463,32.16881484787306,34.81311227116003,67.06680049933493,32.16879161666667,34.813049166666666,23.0,6.477095748275439,44.06680049933493,44.06680049933493,44.540270268381995,without_smoothing
2026-03-21T15:15:24.418000+00:00,0.4179999999978463,32.16886815313256,34.8131006086655,76.23510827776043,32.16878918333334,34.81303641666667,23.0,10.65894043841574,53.23510827776043,53.23510827776043,54.2917099068962,without_smoothing
2026-03-21T15:15:25.418000+00:00,0.4179999999978463,32.168839213552424,34.81300096590142,60.21808892022818,32.16879145,34.81302155,23.1,5.6534237724723715,37.11808892022818,37.11808892022818,37.54615460258376,without_smoothing
2026-03-21T15:15:26.418000+00:00,0.4179999999978463,32.16878626028604,34.812947586484555,68.27541164960712,32.16879298333333,34.81300566666666,23.1,5.517654170840072,45.17541164960712,45.17541164960712,45.51112309381573,without_smoothing
2026-03-21T15:15:27.418000+00:00,0.4179999999978463,32.168798301170284,34.812911777788436,59.75306118931621,32.168794150000004,34.812990166666665,23.0,7.392749606084588,36.75306118931621,36.75306118931621,37.489201825644216,without_smoothing
