utc_time,lat_deg,lon_deg,alt_m,vx_mps,vy_mps,vz_mps,speed_mps,n_sat
2026-03-22T06:44:26.416Z,32.16885238140358,34.813309836275415,31.05580996349454,0.0,0.0,0.0,0.0,5
2026-03-22T06:44:27.416Z,32.16880972211764,34.81325301231087,49.644024088047445,18.046031590551138,6.020464775618166,5.8923655790276825,19.915451900434974,5
2026-03-22T06:44:28.416Z,32.16887595041873,34.81333738612875,30.41752089932561,-21.115576735697687,-4.989931131713092,-4.019855066668242,22.066404970846413,5
2026-03-22T06:44:29.416Z,32.16887202388386,34.81338587328292,26.562024843879044,-5.10007060598582,2.023894992657006,-2.4213004875928164,5.997463395349728,5
2026-03-22T06:44:30.416Z,32.1688031197014,34.81334498718794,48.172275190241635,20.560202068649232,9.5997422831133,5.037824334111065,23.24342132792079,5
2026-03-22T06:44:31.416Z,32.16890735665131,34.813338777665024,29.20842623990029,-17.897698347456753,-13.158769679721445,-0.3122675037011504,22.216622979525496,5
2026-03-22T06:44:32.416Z,32.16883766292719,34.8133842886693,48.91159315034747,14.62079887278378,15.395180670544505,3.948361786082387,21.595576129172805,5
2026-03-22T06:44:33.416Z,32.168784403064755,34.81330020489649,31.126479161903262,-5.250858091749251,-13.310987763106823,-14.468410189729184,20.34917195729417,5
2026-03-22T06:44:34.416Z,32.16885963542572,34.81340511012555,26.28346008900553,-12.661400757730007,3.2474474674090743,4.483316064346582,13.81872306453298,5
2026-03-22T06:44:35.416Z,32.16882938167841,34.81327938691169,32.46166698820889,12.530095529742539,-5.730364499147981,0.4495567143894732,13.785589306120436,5
2026-03-22T06:44:36.416Z,32.16884319747662,34.81334398226414,33.341865873895586,-3.5362840238958597,4.961845980025828,1.7654763613827527,6.343668261326473,5
2026-03-22T06:44:37.416Z,32.168809197590726,34.81329465525772,24.901261718943715,-1.5618120590224862,-6.752811266109347,-7.685369110200554,10.349135966998706,5
2026-03-22T06:44:38.416Z,32.16882656093595,34.81330785443909,40.83603151421994,9.521901099011302,8.13752152537927,10.113762740045786,16.09888362208082,5
2026-03-22T06:44:39.416Z,32.16881182355696,34.81333922512668,33.354622229002416,-6.174286343157291,-0.6894382103346288,-5.366571127902716,8.2095811442489,5
2026-03-22T06:44:40.416Z,32.168785308869126,34.81328538038293,40.05808774661273,8.843409590423107,-0.03642294742166996,1.080177413765341,8.909208890821622,5
2026-03-22T06:44:41.416Z,32.168814727367156,34.81334094644748,39.84442564100027,-4.566593898460269,3.20811337698251,2.647666723933071,6.17704705778183,5
2026-03-22T06:44:42.416Z,32.16879060638972,34.81332008308847,38.35799336526543,1.2596183270215988,-1.520936822053045,-3.0555609320290387,3.6381780819233787,5
2026-03-22T06:44:43.416Z,32.16878543614237,34.81329904385822,47.9222399238497,8.030463000759482,3.1670493269339204,4.606835062149912,9.784756856235793,5
2026-03-22T06:44:44.416Z,32.16880459105561,34.81329620331329,45.57023889757693,-2.4101195856928825,-2.002234843093902,0.545773261692375,3.180485692063089,5
2026-03-22T06:44:45.416Z,32.16879130721999,34.813313652162485,40.29686041455716,-3.960555556230247,-0.7494587302207947,-4.054541113320738,5.717253916164527,5
2026-03-22T06:44:46.416Z,32.168756644757984,34.813267129327855,56.092276754789054,15.162791587412357,5.198978321626782,5.15605338383466,16.838186090223644,5
2026-03-22T06:44:47.416Z,32.16876202323287,34.81331054908504,47.462219033390284,-8.59646613523364,-0.9894890328869224,-4.089908505789936,9.57108510808232,5
2026-03-22T06:44:48.416Z,32.16883284975997,34.8133545014463,45.37088397797197,-7.253322969190776,0.005656851921230555,5.5348157794214785,9.123864959955137,5
2026-03-22T06:44:49.416Z,32.16879344791805,34.81324142128744,54.92330484651029,14.637752499431372,-2.8123736740089953,1.3873230731114745,14.969900107417407,5
2026-03-22T06:44:50.416Z,32.16879424333141,34.81326220244219,39.818799630738795,-11.65486378967762,-5.716953445691615,-7.967206852976233,15.231408066697421,5
2026-03-22T06:44:51.416Z,32.16888588206714,34.81335083504557,28.24707575701177,-17.25671433005482,-1.817378235515207,2.4408629378303885,17.522981053499937,5
2026-03-22T06:44:52.416Z,32.16884328119947,34.813353966165145,33.24671531189233,5.371001997962594,4.094509592745453,-1.336913626641035,6.884766467520972,5
2026-03-22T06:44:53.416Z,32.168843424468754,34.81333103521985,48.138497898355126,11.577271204441786,5.416054215747863,7.942072292324156,15.048035224095544,5
2026-03-22T06:44:54.416Z,32.16885354999324,34.813337479917394,21.324826957657933,-19.472706948406994,-12.800225557759404,-13.325580292381346,26.844052979324065,5
2026-03-22T06:44:55.416Z,32.16877823217148,34.813335734505415,60.840354358777404,31.207202427089214,21.499828515574336,13.968833164777607,40.38886491979958,5
2026-03-22T06:44:56.416Z,32.16883572414707,34.81330955848542,35.079858638346195,-19.280210733413696,-16.413908407092094,-8.318686603102833,26.65226935782189,5
2026-03-22T06:44:57.416Z,32.16882756161592,34.813300949248834,41.0572770005092,5.013413715176284,2.497092711273581,2.4162812870927155,6.099852813516712,5
2026-03-22T06:44:58.416Z,32.16885200962283,34.81330979359601,36.04404450580478,-5.145388014614582,-2.56185271916911,-0.3742676265537739,5.7600506449110105,5
2026-03-22T06:44:59.416Z,32.16885082137537,34.8132922834934,34.884244113229215,0.1944428775459528,-1.8763883030042052,-0.729033465962857,2.022407202017726,5
2026-03-22T06:45:00.416Z,32.16886646151259,34.81333140394035,58.27255129814148,13.389647244475782,13.804907025769353,13.920407459139824,23.74101630406983,5
2026-03-22T06:45:01.416Z,32.16878470451622,34.81320860458853,19.512348050251603,-16.361997559666634,-25.484953690320253,-28.310817915480584,41.45720974431108,5
2026-03-22T06:45:02.416Z,32.16878837844399,34.81329338950708,44.12903273664415,12.364483737386763,18.33804278122261,13.451157227158546,25.88624928196034,5
2026-03-22T06:45:03.416Z,32.16862625336254,34.81335112579428,60.45475971419364,16.095654265023768,17.825215350836515,-6.526180177461356,24.887736261692528,6
2026-03-22T06:45:04.416Z,32.168685043613706,34.813421106511086,61.16457049548626,-6.1247460674494505,3.7806540960446,5.89639906026423,9.304481805160414,7
2026-03-22T06:45:05.416Z,32.168809340932384,34.8132547451004,38.268222972750664,-12.979229406453669,-28.137294894549996,-0.5229196366854012,30.99098586548437,5
2026-03-22T06:45:06.416Z,32.16879915384341,34.81329225522873,64.00940143596381,16.363484791480005,15.687793153338134,12.748769391328096,26.00772211356051,5
2026-03-22T06:45:07.416Z,32.16877625341508,34.813310050319735,64.44337952043861,0.4534229263663292,2.3596405438147485,-1.9185445699840784,3.0747860272195138,6
2026-03-22T06:45:08.416Z,32.168669109642515,34.81340006105021,74.59945810586214,7.404880750924349,15.48978056339547,-4.650069723837078,17.787318776985483,6
2026-03-22T06:45:09.416Z,32.16882112870713,34.81327252521744,35.99008505046368,-27.333845727145672,-33.65860219206661,-6.286589939612895,43.81280448485389,5
2026-03-22T06:45:10.416Z,32.16881037754015,34.81329369832285,52.47105364035815,10.83490532077849,9.966594870667905,7.765546054113656,16.64427505615123,5
2026-03-22T06:45:11.416Z,32.16880404186871,34.813249107543946,38.64754298981279,-6.898799923248589,-9.919850164093077,-7.954561971127987,14.466233919427259,5
2026-03-22T06:45:12.416Z,32.1686684566251,34.813370693970164,50.376971810124815,8.176683285273612,19.653897797688842,-6.482069164514542,22.251990222072752,6
2026-03-22T06:45:13.416Z,32.1687870112053,34.81327990024113,33.061351110227406,-12.891554518602788,-19.394908581860363,1.909279982559383,23.3666430378142,5
2026-03-22T06:45:14.416Z,32.16877841210191,34.813229554348375,23.8964953282848,-3.241538750939071,-8.037874832749367,-5.686678117141128,10.365968999990162,5
2026-03-22T06:45:15.416Z,32.1687322704694,34.813299495235626,44.84850642364472,13.03162206709385,17.096644666511565,6.823988636955619,22.554051819347787,5
2026-03-22T06:45:16.416Z,32.16882027545596,34.813413989534894,80.56285080779344,14.389489188790321,23.159347409848124,27.27564324112609,38.56648137672842,5
2026-03-22T06:45:17.416Z,32.16887544638235,34.8134428001853,47.39028444327414,-27.279808997176588,-15.659597922116518,-12.482867253012955,33.84129076824842,5
2026-03-22T06:45:18.416Z,32.16880832393985,34.81336900064465,30.615290958434343,-4.430658897385001,-11.559185130987316,-15.231848353985697,19.6279062417832,5
2026-03-22T06:45:19.416Z,32.16868393179872,34.81344433736883,39.98367778491229,8.483676677569747,14.554111923091114,-6.688439029734582,18.125400974706206,6
2026-03-22T06:45:20.416Z,32.168752038224206,34.81339277824193,43.36027402896434,1.8217240264639258,-4.656477295327932,8.190695387776941,9.596298774311423,6
2026-03-22T06:45:21.416Z,32.16877644952882,34.81327973484739,55.248379678465426,13.16583185363561,-3.831666531506926,8.62082251906395,16.19689407608991,6
2026-03-22T06:45:22.416Z,32.16881723599631,34.81328085290808,43.02153488993645,-10.53461327496916,-7.196923374198377,-2.6812543626874685,13.036982314349821,5
2026-03-22T06:45:23.416Z,32.16872633491076,34.81342713063616,31.629542727954686,-11.387702766805887,8.886119910050184,-14.597871168982238,20.536327423059646,7
2026-03-22T06:45:24.416Z,32.16871123508936,34.81322817807526,48.36748327687383,23.077588719315827,-6.808831400703639,7.494142435025424,25.201139993610404,7
2026-03-22T06:45:25.416Z,32.16890703889712,34.813351268730045,79.71484102867544,5.666335343383253,18.081130457110703,35.06938821263611,39.86096617543673,7
2026-03-22T06:45:26.416Z,32.168863301588445,34.8133160098006,42.01457575708628,-22.182080442085862,-19.475238961633295,-24.17774564679712,38.15616607985012,5
2026-03-22T06:45:27.416Z,,,,,,,,0
2026-03-22T06:45:28.416Z,32.168888990767776,34.8133706176339,75.24884893465787,9.455635057296604,9.711846087826416,10.052922850009054,16.875729513080017,5
2026-03-22T06:45:29.416Z,,,,,,,,0
2026-03-22T06:45:30.416Z,32.168881508475515,34.81303707506377,54.17720833141357,1.8394628539681435,-17.87999734468758,-5.9606172412168235,18.936918612420946,7
2026-03-22T06:45:31.416Z,32.168825098647396,34.81324049744749,49.55342016648501,-11.432898605242372,15.419634779449552,-7.756803250405937,20.70372681221599,7
2026-03-22T06:45:32.416Z,32.168810037722956,34.81318915572628,42.46655629295856,-1.430530933663249,-6.892982510384172,-5.186880993191153,8.744333083669513,8
2026-03-22T06:45:33.416Z,32.16874816234547,34.81324250424064,43.87440884113312,1.1049968302249908,6.8971637464128435,-5.058493239805102,8.624397926626116,8
2026-03-22T06:45:34.416Z,32.16873511428843,34.81313543938234,32.62230156827718,-1.422303200699389,-13.288846476469189,-7.215566925704479,15.188179388235039,7
2026-03-22T06:45:35.416Z,32.168802117939585,34.813187892201164,58.31092910375446,11.780725141987205,14.217723682522774,19.96644299197942,27.19536720354374,7
2026-03-22T06:45:36.416Z,32.1687558323351,34.813197098945295,36.72172675281763,-13.25619094632566,-8.160128983668983,-15.839110455941409,22.207920286939824,6
2026-03-22T06:45:37.416Z,32.16879703839677,34.81322633997058,21.367482758127153,-14.242782194167376,-6.544598114211112,-4.306950419675559,16.255412360951365,8
2026-03-22T06:45:38.416Z,32.16880514014782,34.81322453454646,54.52017989847809,22.74488227069378,15.608481622301042,18.411493479274213,33.16530506717504,8
2026-03-22T06:45:39.416Z,32.16886213041474,34.813183600195124,26.4602077472955,-20.059303796850145,-18.651057700626552,-9.590076310560107,29.020806084752262,6
2026-03-22T06:45:40.416Z,32.168692669810355,34.81326623411608,51.5841181287542,21.2251165676862,24.252266035415232,-2.530397467315197,32.3277109073163,7
2026-03-22T06:45:41.416Z,32.1687978756267,34.81324039029985,37.52560192067176,-13.478326215408742,-12.341301916632801,2.390399374999106,18.43060009165342,5
2026-03-22T06:45:42.416Z,32.16877324125545,34.81327141011186,34.48766507767141,-2.5875504119321704,1.7643383154645562,-3.9297951515764,5.025096691513511,7
2026-03-22T06:45:43.416Z,32.16872302382905,34.81319554747596,35.18096408993006,7.001024046912789,-3.8470204058103263,-4.344631312415004,9.09338907938009,7
2026-03-22T06:45:44.416Z,32.168805112264266,34.81318908789761,37.58827161695808,-1.9581844974309206,-2.103731923736632,8.98707337025553,9.435447116871755,8
2026-03-22T06:45:45.416Z,32.16886177369339,34.81316512074783,28.242423865012825,-7.951116458512843,-8.282273008488119,0.34274789644405246,11.486242868948988,8
2026-03-22T06:45:46.416Z,32.16874511589633,34.813146257579966,46.88894448149949,19.629380122758448,11.482422391418368,-1.022607420105487,22.76410142997841,8
2026-03-22T06:45:47.416Z,32.168729179704755,34.813104039886056,34.12761637661606,-5.8230611914768815,-8.899166541174054,-8.290198193397373,13.484457454901365,7
